15.0	13.0
15.0	18.0
15.0	14.0
15.0	10.0
19.0	15.0
12.0	15.0
17.0	15.0
20.0	15.0
15.0	16.0
11.0	15.0
15.0	19.0
15.0	17.0
10.0	15.0
12.0	15.0
14.0	15.0
15.0	18.0
20.0	15.0
15.0	11.0
16.0	15.0
13.0	15.0
15.0	19.0
15.0	12.0
15.0	11.0
15.0	17.0
15.0	13.0
14.0	15.0
16.0	15.0
10.0	15.0
15.0	20.0
15.0	18.0
11.0	15.0
15.0	10.0
18.0	15.0
20.0	15.0
13.0	15.0
14.0	15.0
15.0	12.0
16.0	15.0
19.0	15.0
17.0	15.0
15.0	20.0
12.0	15.0
18.0	15.0
15.0	19.0
15.0	16.0
15.0	14.0
13.0	15.0
15.0	11.0
10.0	15.0
15.0	17.0
12.0	15.0
15.0	19.0
17.0	15.0
14.0	15.0
13.0	15.0
15.0	11.0
16.0	15.0
15.0	18.0
10.0	15.0
15.0	20.0
15.0	13.0
11.0	15.0
15.0	12.0
15.0	10.0
17.0	15.0
14.0	15.0
15.0	16.0
15.0	19.0
15.0	18.0
15.0	20.0
16.0	15.0
15.0	13.0
15.0	12.0
20.0	15.0
15.0	17.0
18.0	15.0
15.0	14.0
19.0	15.0
15.0	10.0
11.0	15.0
19.0	15.0
15.0	16.0
18.0	15.0
15.0	14.0
15.0	10.0
13.0	15.0
17.0	15.0
11.0	15.0
15.0	12.0
15.0	20.0
20.0	15.0
10.0	15.0
15.0	13.0
15.0	16.0
19.0	15.0
15.0	11.0
15.0	17.0
12.0	15.0
18.0	15.0
15.0	14.0
