subj,stage,fan,region,n_voxels,accuracy
01,early_practice,001,"Lt. superior frontal gyrus (BA8, medial)",286,0.2986111111111111
01,early_practice,002,"Rt. superior frontal gyrus (BA8, medial)",331,0.3645833333333333
01,early_practice,003,"Lt. superior frontal gyrus (BA8, dorsolateral)",359,0.2916666666666667
01,early_practice,004,"Rt. superior frontal gyrus (BA8, dorsolateral)",279,0.2638888888888889
01,early_practice,005,"Lt. superior frontal gyrus (BA9, lateral)",321,0.31597222222222227
01,early_practice,006,"Rt. superior frontal gyrus (BA9, lateral)",386,0.32986111111111116
01,early_practice,007,"Lt. superior frontal gyrus (BA6, dorsolateral)",275,0.3680555555555555
01,early_practice,008,"Rt. superior frontal gyrus (BA6, dorsolateral)",281,0.2951388888888889
01,early_practice,009,"Lt. superior frontal gyrus (BA6, medial)",291,0.3194444444444444
01,early_practice,010,"Rt. superior frontal gyrus (BA6, medial)",314,0.3229166666666667
01,early_practice,011,"Lt. superior frontal gyrus (BA9, medial)",258,0.3125
01,early_practice,012,"Rt. superior frontal gyrus (BA9, medial)",353,0.2881944444444445
01,early_practice,013,"Lt. superior frontal gyrus (BA10, medial)",385,0.2986111111111111
01,early_practice,014,"Rt. superior frontal gyrus (BA10, medial)",363,0.28472222222222227
01,early_practice,015,"Lt. middle frontal gyrus (BA9/46, dorsal)",424,0.2604166666666667
01,early_practice,016,"Rt. middle frontal gyrus (BA9/46, dorsal)",434,0.2604166666666667
01,early_practice,017,"Lt. middle frontal gyrus (IFJ, inferior frontal junction)",327,0.34027777777777785
01,early_practice,018,"Rt. middle frontal gyrus (IFJ, inferior frontal junction)",240,0.3229166666666667
01,early_practice,019,Lt. middle frontal gyrus (BA46),314,0.3194444444444445
01,early_practice,020,Rt. middle frontal gyrus (BA46),413,0.3333333333333333
01,early_practice,021,"Lt. middle frontal gyrus (BA9/46, ventral)",398,0.3958333333333333
01,early_practice,022,"Rt. middle frontal gyrus (BA9/46, ventral)",362,0.34722222222222227
01,early_practice,023,"Lt. middle frontal gyrus (BA8, ventrolateral)",412,0.31597222222222227
01,early_practice,024,"Rt. middle frontal gyrus (BA8, ventrolateral)",327,0.34375
01,early_practice,025,"Lt. middle frontal gyrus (BA6, ventrolateral)",248,0.3333333333333333
01,early_practice,026,"Rt. middle frontal gyrus (BA6, ventrolateral)",253,0.2916666666666667
01,early_practice,027,"Lt. middle frontal gyrus (BA10, lateral)",347,0.3125
01,early_practice,028,"Rt. middle frontal gyrus (BA10, lateral)",441,0.3229166666666667
01,early_practice,029,"Lt. inferior frontal gyrus (BA44, dorsal)",126,0.28472222222222227
01,early_practice,030,"Rt. inferior frontal gyrus (BA44, dorsal)",129,0.3020833333333333
01,early_practice,031,"Lt. inferior frontal gyrus (IFS, inferior frontal sulcus)",132,0.3576388888888889
01,early_practice,032,"Rt. inferior frontal gyrus (IFS, inferior frontal sulcus)",135,0.3333333333333333
01,early_practice,033,"Lt. inferior frontal gyrus (BA45, caudal)",140,0.34027777777777773
01,early_practice,034,"Rt. inferior frontal gyrus (BA45, caudal)",161,0.3541666666666667
01,early_practice,035,"Lt. inferior frontal gyrus (BA45, rostral)",141,0.34375
